name,code,alias,level,status,latitude,longitude,parent_name,parent_code
Надымский район,71156,nadymskii-raion,2,,65.108938,72.967231,Ямало-Ненецкий автономный округ,71140
Калевальский район,86209,kalevalskii-raion,2,,65.062756,31.447081,Республика Карелия,86
Печорский район,87420,pechorskii-raion,2,,65.032137,57.168587,Республика Коми,87
Приморский район,11252,primorskii-raion,2,,64.892408,40.494077,Архангельская область,11
Анадырский район,77203,anadyrskii-raion,2,,64.861088,173.33925,Чукотский автономный округ,77
Лешуконский район,11238,leshukonskii-raion,2,,64.857237,47.367356,Архангельская область,11
Пуровский район,71160,purovskii-raion,2,,64.751575,77.354064,Ямало-Ненецкий автономный округ,71140
Анадырь,77401,anadyr,2,,64.734816,177.514745,Чукотский автономный округ,77
Эвенкийский район,4130,evenkiiskii-raion,2,,64.690149,98.93192,Красноярский край,4
Кобяйский район,98224,kobiaiskii-raion,2,,64.676788,128.369317,Республика Саха (Якутия),98
Костомукшка,86406,kostomukshka,2,,64.588014,30.598361,Республика Карелия,86
Северодвинск,11430,severodvinsk,2,,64.562501,39.818175,Архангельская область,11
Туруханский район,4254,turukhanskii-raion,2,,64.540839,87.450077,Красноярский край,4
Архангельск,11401,arkhangelsk,2,,64.539393,40.516939,Архангельская область,11
Красноселькупский район,71153,krasnoselkupskii-raion,2,,64.512058,82.500988,Ямало-Ненецкий автономный округ,71140
Беломорский район,86204,belomorskii-raion,2,,64.451565,34.737448,Республика Карелия,86
Губкинский,71172,gubkinskii,2,,64.432625,76.500494,Ямало-Ненецкий автономный округ,71140
Новодвинск,11415,novodvinsk,2,,64.413695,40.820749,Архангельская область,11
Вилюйский район,98218,viliuiskii-raion,2,,64.363213,122.154574,Республика Саха (Якутия),98
Среднекамский район,44210,srednekamskii-raion,2,,64.350757,154.599288,Магаданская область,44
Нюрбинский район,98226,niurbinskii-raion,2,,64.207416,117.325878,Республика Саха (Якутия),98
Мирнинский район,98231,mirninskii-raion,2,,64.098142,110.761852,Республика Саха (Якутия),98
Пинежский район,11248,pinezhskii-raion,2,,64.097815,44.368358,Архангельская область,11
Томпонский район,98250,tomponskii-raion,2,,64.06566,136.727009,Республика Саха (Якутия),98
Вуктыльский район,87412,vuktylskii-raion,2,,63.928838,58.834486,Республика Коми,87
Холмогорский район,11256,kholmogorskii-raion,2,,63.837051,41.994578,Архангельская область,11
Муравленко,71175,muravlenko,2,,63.795285,74.494448,Ямало-Ненецкий автономный округ,71140
Муезёрский район,86227,mueziorskii-raion,2,,63.788921,31.661131,Республика Карелия,86
Сосногорский район,87422,sosnogorskii-raion,2,,63.69962,54.950907,Республика Коми,87
Оймяконский район,98239,oimiakonskii-raion,2,,63.695064,142.713633,Республика Саха (Якутия),98
Верхневилюйский район,98214,verkhneviliuiskii-raion,2,,63.653626,120.395278,Республика Саха (Якутия),98
Сегежский район,86245,segezhskii-raion,2,,63.651637,34.510956,Республика Карелия,86
Онежский район,11246,onezhskii-raion,2,,63.629132,37.900218,Архангельская область,11
Удорский район,87240,udorskii-raion,2,,63.618502,48.536999,Республика Коми,87
Белоярский район,71111,beloiarskii-raion,2,,63.618103,68.24715,Ханты-Мансийский автономный округ - Югра,71100
Ухта,87425,ukhta,2,,63.562626,53.684022,Республика Коми,87
Березовский район,71112,berezovskii-raion,2,,63.534218,62.091229,Ханты-Мансийский автономный округ - Югра,71100
Княжпогостский район,87208,kniazhpogostskii-raion,2,,63.331701,51.336778,Республика Коми,87
Сусуманский район,44213,susumanskii-raion,2,,63.238274,146.486144,Магаданская область,44
Ноябрьск,71178,noiabrsk,2,,63.201789,75.450965,Ямало-Ненецкий автономный округ,71140
Северо-Эвенский район,44207,severo-evenskii-raion,2,,63.147706,160.279075,Магаданская область,44
Усть-Алданский район,98252,ust-aldanskii-raion,2,,63.053591,131.299244,Республика Саха (Якутия),98
Медвежьегорский район,86224,medvezhegorskii-raion,2,,62.873679,34.615942,Республика Карелия,86
Намский район,98235,namskii-raion,2,,62.867399,129.157705,Республика Саха (Якутия),98
Пенжинский район,30129,penzhinskii-raion,2,,62.86609,165.841847,Камчатский край,30
Виноградовский район,11214,vinogradovskii-raion,2,,62.778798,43.516665,Архангельская область,11
ЗАТО Мирный,11525,zato-mirnyi,2,,62.764516,40.336054,Архангельская область,11
Омсуканский район,44204,omsukanskii-raion,2,,62.742226,156.089638,Магаданская область,44
Плесецкий район,11250,plesetskii-raion,2,,62.739639,39.621265,Архангельская область,11
Таттинскийрайон,98204,tattinskiiraion,2,,62.659842,133.26121,Республика Саха (Якутия),98
Ягоднинский район,44222,iagodninskii-raion,2,,62.586059,150.274897,Магаданская область,44
Верхнетоемский район,11208,verkhnetoemskii-raion,2,,62.480752,45.638504,Архангельская область,11
Сунтарский район,98248,suntarskii-raion,2,,62.473065,116.774842,Республика Саха (Якутия),98
